Source,Target,Type,Id,Label,timeset,Weight,S
28,122,Directed,808,,,1,
28,128,Directed,809,,,1,
28,138,Directed,810,,,2,
28,155,Directed,811,,,1,
28,156,Directed,812,,,31,
28,159,Directed,813,,,2,
29,7,Directed,814,,,1,
29,19,Directed,815,,,1,
29,32,Directed,816,,,1,
29,63,Directed,817,,,1,
29,67,Directed,818,,,1,
29,68,Directed,819,,,7,
29,69,Directed,820,,,7,
29,74,Directed,821,,,10,
29,75,Directed,822,,,1,
29,78,Directed,823,,,3,
29,104,Directed,824,,,2,
29,107,Directed,825,,,3,
29,117,Directed,826,,,2,
29,119,Directed,827,,,5,
29,120,Directed,828,,,1,
29,122,Directed,829,,,1,
29,127,Directed,830,,,4,
29,132,Directed,831,,,1,
29,137,Directed,832,,,12,
29,142,Directed,833,,,1,
29,144,Directed,834,,,4,
29,147,Directed,835,,,2,
29,151,Directed,836,,,1,
29,154,Directed,837,,,1,
29,156,Directed,838,,,1,
29,157,Directed,839,,,4,
29,163,Directed,840,,,1,
30,5,Directed,841,,,18,
30,16,Directed,842,,,4,
30,19,Directed,843,,,15,
30,25,Directed,844,,,2,
30,26,Directed,845,,,1,
30,28,Directed,846,,,12,
30,32,Directed,847,,,1,
30,42,Directed,848,,,6,
30,45,Directed,849,,,1,
30,51,Directed,850,,,2,
30,62,Directed,851,,,2,
30,74,Directed,852,,,1,
30,96,Directed,853,,,1,
30,113,Directed,854,,,2,
30,114,Directed,855,,,16,
30,115,Directed,856,,,10,
30,121,Directed,857,,,2,
30,137,Directed,858,,,1,
30,151,Directed,859,,,1,
30,155,Directed,860,,,1,
30,156,Directed,861,,,13,
30,159,Directed,862,,,4,
30,164,Directed,863,,,2,
31,21,Directed,864,,,2,
31,23,Directed,865,,,1,
31,25,Directed,866,,,3,
31,39,Directed,867,,,8,
31,43,Directed,868,,,4,
31,52,Directed,869,,,4,
31,55,Directed,870,,,8,
31,60,Directed,871,,,1,
31,69,Directed,872,,,1,
31,72,Directed,873,,,8,
31,75,Directed,874,,,1,
31,77,Directed,875,,,1,
31,82,Directed,876,,,3,
31,87,Directed,877,,,1,
31,91,Directed,878,,,3,
31,97,Directed,879,,,1,
31,98,Directed,880,,,2,
31,100,Directed,881,,,1,
31,106,Directed,882,,,4,
31,123,Directed,883,,,2,
31,129,Directed,884,,,3,
31,131,Directed,885,,,1,
31,136,Directed,886,,,5,
31,140,Directed,887,,,3,
31,148,Directed,888,,,3,
31,150,Directed,889,,,3,
31,152,Directed,890,,,3,
31,165,Directed,891,,,5,
31,166,Directed,892,,,1,
32,5,Directed,893,,,3,
32,12,Directed,894,,,1,
32,19,Directed,895,,,7,
32,26,Directed,896,,,3,
32,30,Directed,897,,,3,
32,35,Directed,898,,,2,
32,38,Directed,899,,,1,
32,42,Directed,900,,,2,
32,44,Directed,901,,,7,
32,54,Directed,902,,,1,
32,59,Directed,903,,,11,
32,61,Directed,904,,,1,
32,62,Directed,905,,,17,
32,73,Directed,906,,,1,
32,96,Directed,907,,,17,
32,113,Directed,908,,,6,
32,114,Directed,909,,,1,
32,117,Directed,910,,,1,
32,130,Directed,911,,,1,
32,137,Directed,912,,,1,
32,149,Directed,913,,,2,
32,155,Directed,914,,,14,
32,156,Directed,915,,,2,
33,5,Directed,916,,,1,
33,14,Directed,917,,,2,
33,19,Directed,918,,,2,
33,20,Directed,919,,,1,
33,40,Directed,920,,,1,
33,42,Directed,921,,,1,
33,45,Directed,922,,,4,
33,51,Directed,923,,,2,
