Id,Label,timeset,matches,goals_for,goals_against,wins,losses,per_win,per_loss,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum,gre
121,Romania,,266,542,318,172,94,0.646617,0.353383,4,0.486726,0.566162,368.52172,2,53,36,89,170,92,262,0.171007,0.130061,0.012382,0.43958,0.75899,0,0,121
122,Russia,,276,584,221,201,75,0.728261,0.271739,4,0.467422,0.55303,299.488973,2,62,37,99,197,74,271,0.181678,0.134482,0.013856,0.369991,0.833513,0,0,122
123,Rwanda,,140,177,188,65,75,0.464286,0.535714,5,0.429688,0.503232,19.877389,3,21,26,47,40,69,109,0.016321,0.021178,0.0036,0.70197,0.143518,0,0,123
124,Saint Kitts and Nevis,,100,211,166,50,50,0.5,0.5,4,0.37931,0.426263,19.244075,1,10,13,23,21,40,61,0.00255,0.00477,0.002384,0.736264,0.018972,0,0,124
125,Saint Lucia,,123,206,249,53,70,0.430894,0.569106,4,0.368304,0.420202,21.583565,1,10,15,25,28,51,79,0.002673,0.003798,0.002462,0.716912,0.020496,0,0,125
126,San Marino,,145,18,665,0,145,0,1,4,0.442667,0.540161,0,2,0,39,39,0,143,143,0,0.131119,0.000898,0.615385,0,0,1,126
127,Saudi Arabia,,275,549,290,183,92,0.665455,0.334545,3,0.522152,0.580808,340.671558,5,31,33,64,167,92,259,0.038998,0.075425,0.005646,0.354167,0.241109,0,0,127
128,Scotland,,355,620,456,213,142,0.6,0.4,4,0.474138,0.560606,301.225755,2,48,38,86,210,141,351,0.153574,0.131915,0.011278,0.439509,0.683256,0,0,128
129,Senegal,,220,364,173,146,74,0.663636,0.336364,4,0.466102,0.531818,356.670394,3,37,26,63,118,72,190,0.040079,0.025595,0.006804,0.503659,0.33822,0,0,129
130,Serbia,,117,236,126,78,39,0.666667,0.333333,4,0.474138,0.541414,308.871962,2,35,28,63,76,39,115,0.109446,0.087353,0.007248,0.413725,0.435514,0,0,130
131,Sierra Leone,,123,129,179,53,70,0.430894,0.569106,5,0.418782,0.483535,15.243957,3,17,21,38,29,61,90,0.015405,0.017553,0.003491,0.74,0.145359,0,0,131
132,Singapore,,292,375,612,100,192,0.342466,0.657534,4,0.510836,0.576263,143.754147,5,23,34,57,85,183,268,0.020577,0.036553,0.003395,0.490043,0.109113,0,0,132
133,Slovakia,,130,226,162,73,57,0.561538,0.438462,4,0.462185,0.533333,115.08008,2,31,28,59,73,57,130,0.100844,0.097701,0.006085,0.462766,0.355647,0,0,133
134,Slovenia,,125,170,157,60,65,0.48,0.52,4,0.462185,0.539394,170.196411,2,25,31,56,60,65,125,0.084068,0.106547,0.005163,0.5,0.302793,0,0,134
